file_name,caption
DSC_1643.JPG,sks a truck driving down a snow covered street
DSC_1645.JPG,sks a bunch of cars that are parked in the snow
DSC_1648.JPG,sks a clock tower in the middle of a snow covered street
DSC_1667.JPG,sks a bus stop covered in snow next to a building
DSC_1675.JPG,sks a building that has snow on the ground in front of it
DSC_1820.JPG,sks a bunch of logs stacked on top of each other in front of a building
DSC_1836.JPG,sks a small white building sitting in the middle of a snow covered field
DSC_1851.JPG,sks a person standing in the snow next to a building
DSC_2185.JPG,sks a red vending machine sitting on the side of a building
DSC_2293.JPG,sks a couple of people that are standing in the snow
